MCT_NM,MCT_TYPE,latitude,longitude,ADDR,LOCAL_UE_CNT_RAT,MONTH
볼튼라운지펍,단품요리 전문,33.4991008,126.5296443,제주 제주시 이도이동 1768-2번지 4층,100.0,11월
마음휴양소카페,단품요리 전문,33.5129009,126.5316166,제주 제주시 일도일동 1067번지 1층,100.0,11월
비에이치,치킨,33.476915,126.4506659,제주 제주시 도평동 965-2번지,100.0,04월
도원유통,분식,33.4873301,126.4853556,제주 제주시 노형동 916-4번지 1층,100.0,08월
조커,단품요리 전문,33.5013091,126.5431595,제주 제주시 이도이동 409-4번지 2층,100.0,12월
도원유통,분식,33.4873301,126.4853556,제주 제주시 노형동 916-4번지 1층,100.0,05월
비에이치,치킨,33.476915,126.4506659,제주 제주시 도평동 965-2번지,100.0,12월
도원유통,분식,33.4873301,126.4853556,제주 제주시 노형동 916-4번지 1층,100.0,04월
주식회사 제주인제주애,가정식,33.4882196,126.4873419,제주 제주시 연동 251-16번지 상가동동 2층 209호,100.0,10월
루체,단품요리 전문,33.499215,126.5312611,제주 제주시 이도이동 1179-10번지 지하1층,100.0,10월
비에이치,치킨,33.476915,126.4506659,제주 제주시 도평동 965-2번지,100.0,11월
서귀포일터나눔 지역자활센터 - 엄블랑디,가정식,33.2523903,126.5575943,제주 서귀포시 서귀동 330-25번지 서귀동,100.0,07월
마음휴양소카페,단품요리 전문,33.5129009,126.5316166,제주 제주시 일도일동 1067번지 1층,100.0,10월
비에이치,치킨,33.476915,126.4506659,제주 제주시 도평동 965-2번지,100.0,07월
비에이치,치킨,33.476915,126.4506659,제주 제주시 도평동 965-2번지,100.0,10월
도원유통,분식,33.4873301,126.4853556,제주 제주시 노형동 916-4번지 1층,100.0,06월
도원유통,분식,33.4873301,126.4853556,제주 제주시 노형동 916-4번지 1층,100.0,07월
미식가,가정식,33.3082455,126.1645996,제주 제주시 한경면 고산리 3615-6번지,100.0,07월
비에이치,치킨,33.476915,126.4506659,제주 제주시 도평동 965-2번지,100.0,09월
킹스홀덤펌,단품요리 전문,33.4992523,126.5283893,제주 제주시 이도이동 1769-1번지 3층,100.0,10월
구구단,단품요리 전문,33.4787935,126.4911562,제주 제주시 연동 1509-8번지 1층,100.0,02월
코코망가스,단품요리 전문,33.4034138,126.4508866,제주 제주시 애월읍 광령리 1039-3번지 2층,100.0,01월
아하,가정식,33.4891215,126.4925851,제주 제주시 연동 282-17번지 3층,100.0,03월
온기,단품요리 전문,33.4950234,126.546744,제주 제주시 이도이동 1952-5번지 지하1층,100.0,08월
벨라,단품요리 전문,33.4874929,126.4921407,제주 제주시 연동 283-2번지 2층,100.0,07월
일도돈,가정식,33.5060861,126.5406736,제주 제주시 일도이동 378-4번지 동명빌딩 1층,100.0,03월
숙이포차,단품요리 전문,33.9628716,126.2945522,제주 제주시 추자면 대서리 131-1번지 1층,100.0,04월
에스홀덤펍,단품요리 전문,33.2463501,126.5642746,제주 서귀포시 서귀동 528-1번지 2층,100.0,07월
제주씨푸드,단품요리 전문,33.5241111,126.5897835,제주 제주시 삼양일동 1662-12번지,100.0,04월
루체,단품요리 전문,33.499215,126.5312611,제주 제주시 이도이동 1179-10번지 지하1층,100.0,04월
친구,맥주/요리주점,33.4917997,126.4798391,제주 제주시 연동 1953-3번지,100.0,01월
벨라,단품요리 전문,33.4874929,126.4921407,제주 제주시 연동 283-2번지 2층,100.0,04월
그리너제주삼화지구점,단품요리 전문,33.5132164,126.5724962,제주 제주시 화북이동 826-1번지 5층,100.0,04월
송이축산정육식당삼양점,가정식,33.520576,126.5799477,제주 제주시 삼양이동 2149-1번지 1층,100.0,03월
육화담,가정식,33.2472371,126.564018,제주 서귀포시 서귀동 417-6번지 5층,100.0,04월
벨라,단품요리 전문,33.4874929,126.4921407,제주 제주시 연동 283-2번지 2층,100.0,05월
수연,단품요리 전문,33.250613,126.5628064,제주 서귀포시 서귀동 278-7번지 1층,100.0,05월
오리본가,단품요리 전문,33.2545545,126.5712908,제주 서귀포시 동홍동 647-4번지,100.0,07월
마음휴양소카페,단품요리 전문,33.5129009,126.5316166,제주 제주시 일도일동 1067번지 1층,100.0,07월
서귀포일터나눔 지역자활센터 - 엄블랑디,가정식,33.2523903,126.5575943,제주 서귀포시 서귀동 330-25번지 서귀동,100.0,04월
사라봉회관,가정식,33.5140168,126.5425175,제주 제주시 건입동 682-4번지,100.0,12월
삼배통,가정식,33.4985425,126.5217559,제주 제주시 삼도일동 574-25번지 삼도일동,100.0,12월
춘천명동닭갈비일도점,단품요리 전문,33.5030391,126.5420933,제주 제주시 이도이동 408-2번지 1층,100.0,05월
제주씨푸드,단품요리 전문,33.5241111,126.5897835,제주 제주시 삼양일동 1662-12번지,100.0,07월
루팡,단품요리 전문,33.4908043,126.4913085,제주 제주시 연동 271-39번지 1층,100.0,05월
이디카페,단품요리 전문,33.2478042,126.5644626,제주 서귀포시 서귀동 406-16번지 지하1층,100.0,06월
바바라(Babara),단품요리 전문,33.2475357,126.5623677,제주 서귀포시 서귀동 424번지 2층,100.0,07월
오리본가,단품요리 전문,33.2545545,126.5712908,제주 서귀포시 동홍동 647-4번지,100.0,06월
정성푸드,단품요리 전문,33.4959445,126.5309822,제주 제주시 이도이동 1012-6번지 장수하이츠빌라 지층,100.0,07월
수연,단품요리 전문,33.250613,126.5628064,제주 서귀포시 서귀동 278-7번지 1층,100.0,06월
쉬크,단품요리 전문,33.4974514,126.5269346,제주 제주시 도남동 917-8번지,100.0,06월
마음휴양소카페,단품요리 전문,33.5129009,126.5316166,제주 제주시 일도일동 1067번지 1층,100.0,12월
삼성웰스토리 (주)호텔신라제주면세점,패스트푸드/간단한 식사,33.4866699,126.4872744,제주 제주시 연동 252-7번지 2층,100.0,05월
차화술,가정식,33.5099229,126.5328493,제주 제주시 일도이동 1020-21번지 2층,100.0,01월
제주씨푸드,단품요리 전문,33.5241111,126.5897835,제주 제주시 삼양일동 1662-12번지,100.0,03월
파도수산,단품요리 전문,33.4846272,126.4021567,제주 제주시 애월읍 하귀2리 1656-2번지,100.0,03월
주식회사 전철우고향랭면,가정식,33.4790508,126.470798,제주 제주시 노형동 2282번지 1층,100.0,03월
샤커,단품요리 전문,33.4876719,126.4317725,제주 제주시 외도일동 550-7번지 2층,100.0,08월
수연,단품요리 전문,33.250613,126.5628064,제주 서귀포시 서귀동 278-7번지 1층,100.0,03월
자몽,단품요리 전문,33.505726,126.5437001,제주 제주시 일도이동 419번지 1층,100.0,03월
아이,단품요리 전문,33.5032169,126.5412012,제주 제주시 일도이동 414-21번지 일도이동,100.0,03월
비행접시,단품요리 전문,33.213583,126.2734322,제주 서귀포시 대정읍 상모리 1974-5번지 1층,100.0,08월
루팡,단품요리 전문,33.4908043,126.4913085,제주 제주시 연동 271-39번지 1층,100.0,03월
삼성웰스토리 (주)호텔신라제주면세점,패스트푸드/간단한 식사,33.4866699,126.4872744,제주 제주시 연동 252-7번지 2층,98.88,06월
현숙,양식,33.501458,126.5273691,제주 제주시 이도일동 1786-17번지,98.82,07월
현숙,양식,33.501458,126.5273691,제주 제주시 이도일동 1786-17번지,98.75,06월
현숙,양식,33.501458,126.5273691,제주 제주시 이도일동 1786-17번지,98.72,12월
마당민속주점,단품요리 전문,33.5018785,126.5464811,제주 제주시 일도이동 74-7번지,97.73,02월
현숙,양식,33.501458,126.5273691,제주 제주시 이도일동 1786-17번지,97.7,08월
오리본가,단품요리 전문,33.2545545,126.5712908,제주 서귀포시 동홍동 647-4번지,97.67,08월
현숙,양식,33.501458,126.5273691,제주 제주시 이도일동 1786-17번지,97.65,09월
현숙,양식,33.501458,126.5273691,제주 제주시 이도일동 1786-17번지,97.59,04월
현숙,양식,33.501458,126.5273691,제주 제주시 이도일동 1786-17번지,97.59,05월
현숙,양식,33.501458,126.5273691,제주 제주시 이도일동 1786-17번지,97.53,10월
현숙,양식,33.501458,126.5273691,제주 제주시 이도일동 1786-17번지,97.5,11월
일도돈,가정식,33.5060861,126.5406736,제주 제주시 일도이동 378-4번지 동명빌딩 1층,97.44,04월
세인트,단품요리 전문,33.5018718,126.5433573,제주 제주시 일도이동 68-9번지 2층,97.44,07월
세인트,단품요리 전문,33.5018718,126.5433573,제주 제주시 일도이동 68-9번지 2층,97.37,06월
비비큐삼양해수욕장점,치킨,33.5276898,126.5899975,제주 제주시 삼양일동 1581-29번지 1층,97.06,07월
마당민속주점,단품요리 전문,33.5018785,126.5464811,제주 제주시 일도이동 74-7번지,96.97,01월
송이축산정육식당삼양점,가정식,33.520576,126.5799477,제주 제주시 삼양이동 2149-1번지 1층,96.88,04월
본치킨,치킨,33.4902737,126.432747,제주 제주시 외도일동 480-4번지 1층,96.77,10월
모음해장국,단품요리 전문,33.5158096,126.5400537,제주 제주시 건입동 675-18번지 1층,96.72,08월
서도가든,가정식,33.5217617,126.5659725,제주 제주시 화북일동 1947-25번지 화북백록연립 101호,96.61,04월
쌍팔련도 도남점,단품요리 전문,33.4958086,126.5268994,제주 제주시 도남동 908-12번지,96.55,12월
정든공간,가정식,33.4989633,126.5252575,제주 제주시 도남동 915번지,96.43,12월
지원,가정식,33.5059021,126.5451693,제주 제주시 일도이동 46-1번지 혜성대유아파트 105동 102호,96.36,01월
모란카페,커피,33.5018173,126.5281176,제주 제주시 이도일동 1789-5번지 2층,96.3,04월
양키즈,치킨,33.5128473,126.5244478,제주 제주시 일도일동 1454-2번지 15호,96.3,12월
지원,가정식,33.5059021,126.5451693,제주 제주시 일도이동 46-1번지 혜성대유아파트 105동 102호,96.26,03월
삼성웰스토리 (주)호텔신라제주면세점,패스트푸드/간단한 식사,33.4866699,126.4872744,제주 제주시 연동 252-7번지 2층,96.23,07월
꽃다운주점삼화지구점,맥주/요리주점,33.516771,126.5794602,제주 제주시 도련일동 1940-1번지 1층 107호,96.2,08월
춘천명동닭갈비일도점,단품요리 전문,33.5030391,126.5420933,제주 제주시 이도이동 408-2번지 1층,96.15,06월
진향갈비,가정식,33.4946044,126.5274911,제주 제주시 도남동 54-22번지 1층,96.1,01월
써니꼬마김밥본점,분식,33.4735502,126.542946,제주 제주시 아라일동 6088번지 제주아라KCC스위첸아파트 104호,96.0,01월
제주슈퍼1963,가정식,33.5098304,126.512807,제주 제주시 용담일동 306-13번지,96.0,09월
앙끄레,가정식,33.2570768,126.5744454,제주 서귀포시 동홍동 106-5번지 1층,95.83,09월
소소돈,단품요리 전문,33.4866223,126.4321667,제주 제주시 외도일동 559-2번지 오페라하우스 1층,95.83,08월
모란카페,커피,33.5018173,126.5281176,제주 제주시 이도일동 1789-5번지 2층,95.83,02월
풍류담원제과제빵커피학원,베이커리,33.4838459,126.4434897,제주 제주시 내도동 96-1번지 3층,95.83,08월
우등생네번째이야기,단품요리 전문,33.4836646,126.5397863,제주 제주시 아라일동 2388-1번지 1층,95.83,12월
풍류담원제과제빵커피학원,베이커리,33.4838459,126.4434897,제주 제주시 내도동 96-1번지 3층,95.83,07월
비행접시,단품요리 전문,33.213583,126.2734322,제주 서귀포시 대정읍 상모리 1974-5번지 1층,95.83,10월
제주섬도야지,단품요리 전문,33.5063932,126.5235948,제주 제주시 삼도이동 1235-13번지 1층,95.78,10월
레브,가정식,33.4958682,126.5286351,제주 제주시 도남동 86-4번지 1층,95.71,12월
갑부보쌈,단품요리 전문,33.4958382,126.5275148,제주 제주시 도남동 922-31번지 1층,95.65,08월
인생민물장어동홍점,단품요리 전문,33.255384,126.5718425,제주 서귀포시 동홍동 114-11번지 1층,95.65,05월
서도가든,가정식,33.5217617,126.5659725,제주 제주시 화북일동 1947-25번지 화북백록연립 101호,95.65,08월
샤브마니아제주외도점,단품요리 전문,33.4857793,126.4270054,제주 제주시 외도일동 626-1번지 2층,95.59,04월
도담길,가정식,33.4969857,126.5261129,제주 제주시 도남동 910-17번지 도남동,95.56,12월
애주가,맥주/요리주점,33.4872656,126.4320293,제주 제주시 외도일동 551-6번지 다세대주택 나동,95.56,08월
유일무이,단품요리 전문,33.5021391,126.5431964,제주 제주시 일도이동 68-7번지,95.56,08월
풍류담원제과제빵커피학원,베이커리,33.4838459,126.4434897,제주 제주시 내도동 96-1번지 3층,95.45,06월
금별맥주 일도점,맥주/요리주점,33.5030391,126.5420933,제주 제주시 이도이동 408-2번지 1층,95.45,04월
난타오천도남점,피자,33.4952914,126.5272375,제주 제주시 도남동 52번지,95.44,02월
참맛골,가정식,33.2582962,126.5774428,제주 서귀포시 토평동 3264-6번지,95.35,02월
폭풍장어용담점,단품요리 전문,33.5108996,126.5117954,제주 제주시 용담이동 358-20번지 1층,95.31,05월
지원,가정식,33.5059021,126.5451693,제주 제주시 일도이동 46-1번지 혜성대유아파트 105동 102호,95.24,06월
대정숯불갈비,가정식,33.2195221,126.2478901,제주 서귀포시 대정읍 하모리 1089-44번지,95.24,11월
수리조아,단품요리 전문,33.5096229,126.5396856,제주 제주시 일도이동 329-13번지 1층,95.24,03월
난타오천도남점,피자,33.4952914,126.5272375,제주 제주시 도남동 52번지,95.24,01월
다소니전집,단품요리 전문,33.5093758,126.5263743,제주 제주시 이도일동 1549-7번지 1층,95.24,11월
난타오천도남점,피자,33.4952914,126.5272375,제주 제주시 도남동 52번지,95.22,09월
일도수입쇠고기,단품요리 전문,33.5003542,126.5490183,제주 제주시 일도이동 100-3번지,95.17,03월
고향숯불막창일도점,단품요리 전문,33.5029833,126.5426735,제주 제주시 일도이동 48-9번지,95.17,04월
제주섬도야지,단품요리 전문,33.5063932,126.5235948,제주 제주시 삼도이동 1235-13번지 1층,95.15,09월
춘천명동닭갈비일도점,단품요리 전문,33.5030391,126.5420933,제주 제주시 이도이동 408-2번지 1층,95.06,09월
서도가든,가정식,33.5217617,126.5659725,제주 제주시 화북일동 1947-25번지 화북백록연립 101호,95.04,05월
월드카페,커피,33.4174102,126.2639547,제주 제주시 한림읍 한림리 1314-84번지 1층,95.0,10월
현숙,양식,33.501458,126.5273691,제주 제주시 이도일동 1786-17번지,95.0,03월
서도가든,가정식,33.5217617,126.5659725,제주 제주시 화북일동 1947-25번지 화북백록연립 101호,94.96,07월
금별맥주 일도점,맥주/요리주점,33.5030391,126.5420933,제주 제주시 이도이동 408-2번지 1층,94.93,05월
비에이치씨제주화북점,치킨,33.5195511,126.5741903,제주 제주시 화북일동 10-2번지 1층,94.92,01월
떡마을,디저트/간식,33.4966933,126.5379654,제주 제주시 이도이동 1069-3번지,94.92,01월
돈우랑,가정식,33.5081754,126.5397649,제주 제주시 일도이동 354-30번지 1층,94.92,04월
서도가든,가정식,33.5217617,126.5659725,제주 제주시 화북일동 1947-25번지 화북백록연립 101호,94.9,09월
춘천명동닭갈비일도점,단품요리 전문,33.5030391,126.5420933,제주 제주시 이도이동 408-2번지 1층,94.9,10월
고코요,단품요리 전문,33.5046814,126.539983,제주 제주시 일도이동 382-27번지 1층,94.87,12월
일도수입쇠고기,단품요리 전문,33.5003542,126.5490183,제주 제주시 일도이동 100-3번지,94.86,09월
춘천명동닭갈비일도점,단품요리 전문,33.5030391,126.5420933,제주 제주시 이도이동 408-2번지 1층,94.81,08월
뚱이네민물장어,단품요리 전문,33.5094405,126.5108917,제주 제주시 용담이동 624-13번지 1층,94.74,07월
오리본가,단품요리 전문,33.2545545,126.5712908,제주 서귀포시 동홍동 647-4번지,94.74,09월
소소돈,단품요리 전문,33.4866223,126.4321667,제주 제주시 외도일동 559-2번지 오페라하우스 1층,94.74,09월
교촌치킨 오라점,치킨,33.4903484,126.5184436,제주 제주시 오라일동 982-1번지 1층,94.74,11월
풍류담원제과제빵커피학원,베이커리,33.4838459,126.4434897,제주 제주시 내도동 96-1번지 3층,94.74,05월
현숙,양식,33.501458,126.5273691,제주 제주시 이도일동 1786-17번지,94.67,02월
수문미트,가정식,33.4902206,126.4781441,제주 제주시 노형동 1050-5번지 1층,94.64,05월
김준호의대단한갈비 제주서귀포점,단품요리 전문,33.2536256,126.5640762,제주 서귀포시 서귀동 283-21번지 1층,94.61,04월
(주)아워홈 카카오제주점,패스트푸드/간단한 식사,33.4495251,126.5743285,제주 제주시 영평동 2184번지 1층,94.59,10월
양키즈,치킨,33.5128473,126.5244478,제주 제주시 일도일동 1454-2번지 15호,94.59,07월
난타오천도남점,피자,33.4952914,126.5272375,제주 제주시 도남동 52번지,94.59,03월
일도수입쇠고기,단품요리 전문,33.5003542,126.5490183,제주 제주시 일도이동 100-3번지,94.56,05월
참맛골,가정식,33.2582962,126.5774428,제주 서귀포시 토평동 3264-6번지,94.55,05월
일도수입쇠고기,단품요리 전문,33.5003542,126.5490183,제주 제주시 일도이동 100-3번지,94.52,01월
고향숯불막창일도점,단품요리 전문,33.5029833,126.5426735,제주 제주시 일도이동 48-9번지,94.52,01월
현숙,양식,33.501458,126.5273691,제주 제주시 이도일동 1786-17번지,94.52,01월
고향숯불막창일도점,단품요리 전문,33.5029833,126.5426735,제주 제주시 일도이동 48-9번지,94.51,03월
고향숯불막창일도점,단품요리 전문,33.5029833,126.5426735,제주 제주시 일도이동 48-9번지,94.48,02월
비행접시,단품요리 전문,33.213583,126.2734322,제주 서귀포시 대정읍 상모리 1974-5번지 1층,94.44,09월
영찬한우,단품요리 전문,33.4996956,126.5328413,제주 제주시 이도이동 1139-30번지 1층,94.44,10월
일도수입쇠고기,단품요리 전문,33.5003542,126.5490183,제주 제주시 일도이동 100-3번지,94.44,08월
본치킨,치킨,33.4902737,126.432747,제주 제주시 외도일동 480-4번지 1층,94.44,11월
일도수입쇠고기,단품요리 전문,33.5003542,126.5490183,제주 제주시 일도이동 100-3번지,94.41,07월
난타오천도남점,피자,33.4952914,126.5272375,제주 제주시 도남동 52번지,94.4,10월
펭귄부인,단품요리 전문,33.4890268,126.5362958,제주 제주시 이도이동 2004-6번지 1층,94.39,12월
제주섬도야지,단품요리 전문,33.5063932,126.5235948,제주 제주시 삼도이동 1235-13번지 1층,94.38,08월
일도수입쇠고기,단품요리 전문,33.5003542,126.5490183,제주 제주시 일도이동 100-3번지,94.34,12월
목민,가정식,33.4959536,126.5250016,제주 제주시 도남동 906-31번지 1층,94.34,05월
일도수입쇠고기,단품요리 전문,33.5003542,126.5490183,제주 제주시 일도이동 100-3번지,94.33,02월
김준호의대단한갈비 제주도남점,단품요리 전문,33.495306,126.5267812,제주 제주시 도남동 52-4번지 1층,94.32,02월
귀한족발제주일도점,단품요리 전문,33.5058826,126.5405835,제주 제주시 일도이동 378-7번지 102호,94.29,01월
감성쭈꾸미,단품요리 전문,33.4851447,126.4311102,제주 제주시 외도일동 637-12번지 1층,94.29,07월
블리,단품요리 전문,33.5023628,126.5425101,제주 제주시 이도이동 408-6번지 은경빌딩 2층,94.29,12월
캐리어에어콘제주총판,단품요리 전문,33.4868951,126.5250146,제주 제주시 도남동 ,94.29,12월
일도수입쇠고기,단품요리 전문,33.5003542,126.5490183,제주 제주시 일도이동 100-3번지,94.27,06월
일도수입쇠고기,단품요리 전문,33.5003542,126.5490183,제주 제주시 일도이동 100-3번지,94.23,10월
제주정낭집이도점,단품요리 전문,33.4882894,126.5331778,제주 제주시 이도이동 2036-9번지 1층,94.23,07월
레브,가정식,33.4958682,126.5286351,제주 제주시 도남동 86-4번지 1층,94.2,11월
달콤왕가탕후루 삼화점,세계 요리,33.5164423,126.5810067,제주 제주시 도련일동 1937-5번지 1층,94.18,08월
춘천명동닭갈비일도점,단품요리 전문,33.5030391,126.5420933,제주 제주시 이도이동 408-2번지 1층,94.17,07월
쉬크,단품요리 전문,33.4974514,126.5269346,제주 제주시 도남동 917-8번지,94.12,08월
맑은옹달샘소주방,단품요리 전문,33.499523,126.5228695,제주 제주시 삼도일동 579-9번지 1층,94.12,09월
참맛골,가정식,33.2582962,126.5774428,제주 서귀포시 토평동 3264-6번지,94.12,01월
SM아이스크림 할인점,디저트/간식,33.5165548,126.5826521,제주 제주시 도련일동 1909번지 제주삼화사랑으로부영7차아파트 상가동 103호,94.06,11월
난타오천도남점,피자,33.4952914,126.5272375,제주 제주시 도남동 52번지,94.06,07월
송정동핫도그아라점,분식,33.4742986,126.5486331,제주 제주시 아라일동 6134-3번지 1층 101호,94.05,12월
만민,디저트/간식,33.4859996,126.4766046,제주 제주시 노형동 1284-11번지,94.02,12월
페리카나치킨삼양도련점,치킨,33.5113774,126.589513,제주 제주시 도련일동 1789번지 미듬하나로맨션 103호,94.0,04월
세인트,단품요리 전문,33.5018718,126.5433573,제주 제주시 일도이동 68-9번지 2층,94.0,11월
김준호의대단한갈비일도점,단품요리 전문,33.4999001,126.549368,제주 제주시 일도이동 100-8번지 1층,93.99,05월
(주)아워홈 카카오제주점,패스트푸드/간단한 식사,33.4495251,126.5743285,제주 제주시 영평동 2184번지 1층,93.98,09월
SM아이스크림 할인점,디저트/간식,33.5165548,126.5826521,제주 제주시 도련일동 1909번지 제주삼화사랑으로부영7차아파트 상가동 103호,93.98,12월
김준호의대단한갈비일도점,단품요리 전문,33.4999001,126.549368,제주 제주시 일도이동 100-8번지 1층,93.96,01월
오리본가,단품요리 전문,33.2545545,126.5712908,제주 서귀포시 동홍동 647-4번지,93.94,10월
비행접시,단품요리 전문,33.213583,126.2734322,제주 서귀포시 대정읍 상모리 1974-5번지 1층,93.94,12월
냉동고 일도점,단품요리 전문,33.505409,126.5414399,제주 제주시 일도이동 409-6번지 1층,93.91,08월
(주)아워홈 카카오제주점,패스트푸드/간단한 식사,33.4495251,126.5743285,제주 제주시 영평동 2184번지 1층,93.9,12월
오스집,단품요리 전문,33.4953824,126.5258396,제주 제주시 도남동 47-26번지 1층,93.88,10월
김준호의대단한갈비 제주도남점,단품요리 전문,33.495306,126.5267812,제주 제주시 도남동 52-4번지 1층,93.86,01월
난타오천도남점,피자,33.4952914,126.5272375,제주 제주시 도남동 52번지,93.86,05월
고향숯불막창일도점,단품요리 전문,33.5029833,126.5426735,제주 제주시 일도이동 48-9번지,93.78,05월
고기다,단품요리 전문,33.4900133,126.433213,제주 제주시 외도일동 482-2번지 1층,93.75,11월
더오젠,가정식,33.4843546,126.5364461,제주 제주시 아라일동 2605-8번지 1층,93.75,09월
승쁨당삼화지구점,베이커리,33.5173015,126.5882779,제주 제주시 삼양이동 2332-7번지 1층,93.75,02월
춘천명동닭갈비일도점,단품요리 전문,33.5030391,126.5420933,제주 제주시 이도이동 408-2번지 1층,93.72,11월
